Metric,warehouse_B,warehouse_C,warehouse_A,warehouse_S1,warehouse_S2
Evaluation Time (s),817.44,823.24,815.04,805.74,820.04
Completeness (%),72.4008,77.558,69.4188,33.3421,52.8943
Occupied Voxels,3845.0,4018.0,3382.0,2082.0,1692.0
Free Voxels,153264.0,164282.0,147256.0,70270.0,113088.0
Unknown Voxels,59890.0,48699.0,66361.0,144647.0,102219.0
3D True Positives,2629.0,2683.0,2404.0,1299.0,1147.0
3D False Positives,1216.0,1335.0,978.0,783.0,545.0
3D True Negatives,149017.0,159984.0,142862.0,67957.0,110241.0
3D False Negatives,4247.0,4298.0,4394.0,2313.0,2847.0
3D Precision,68.37450000000001,66.7745,71.0822,62.3919,67.78960000000001
3D Recall,38.2344,38.4329,35.363299999999995,35.963499999999996,28.718100000000003
3D F1-Score,49.0439,48.7863,47.2299,45.627,40.3447
3D IoU,32.4889,32.2631,30.915599999999998,29.5563,25.2699
Memory Usage (MB),31.2724,29.8433,31.9714,2.32919,31.9933
Callback Time (ms),300.0,200.0,300.0,300.0,200.0
