Metric,empty_world_A,empty_world_s2,empty_world_s1,empty_world_C,empty_world_B
Evaluation Time (s),8640.45,8588.65,8622.05,8744.35,8625.15
Completeness (%),94.8147,82.4326,79.3849,95.8802,94.5212
Occupied Voxels,8175.0,3002.0,4541.0,7834.0,7971.0
Free Voxels,175594.0,156768.0,149322.0,178000.0,175229.0
Unknown Voxels,10050.0,34049.0,39956.0,7985.0,10619.0
3D True Positives,5132.0,1846.0,2913.0,4564.0,4332.0
3D False Positives,3043.0,1156.0,1628.0,3270.0,3639.0
3D True Negatives,173537.0,156575.0,145422.0,174778.0,172518.0
3D False Negatives,2057.0,193.0,3900.0,3222.0,2711.0
3D Precision,62.7768,61.4923,64.1489,58.258900000000004,54.347
3D Recall,71.3868,90.5346,42.756499999999996,58.618,61.50790000000001
3D F1-Score,66.8055,73.2394,51.3123,58.4379,57.706100000000006
3D IoU,50.1564,57.7778,34.5101,41.2808,40.5542
Memory Usage (MB),34.9695,35.1804,1.83423,32.4538,35.0802
Callback Time (ms),1800.0,1500.0,1500.0,1500.0,1800.0
