Metric,office_pillars_B,office_pillars_C,office_pillars_s1,office_pillars_A,office_pillars_s2
Evaluation Time (s),8689.64,8670.64,8674.94,8725.34,8685.04
Completeness (%),83.4794,88.4795,62.0063,88.7668,60.4136
Occupied Voxels,7846.0,8188.0,4592.0,8874.0,3135.0
Free Voxels,153953.0,163302.0,115588.0,163173.0,113958.0
Unknown Voxels,32020.0,22329.0,73639.0,21772.0,76726.0
3D True Positives,6531.0,6798.0,3113.0,7387.0,2206.0
3D False Positives,1315.0,1390.0,1479.0,1487.0,929.0
3D True Negatives,149904.0,158637.0,111126.0,158608.0,112143.0
3D False Negatives,4049.0,4665.0,4462.0,4565.0,1815.0
3D Precision,83.2399,83.0239,67.7918,83.2432,70.3668
3D Recall,61.7297,59.303799999999995,41.0957,61.805600000000005,54.862
3D F1-Score,70.889,69.1873,51.17119999999999,70.9402,61.6546
3D IoU,54.90540000000001,52.89040000000001,34.382600000000004,54.966899999999995,44.5657
Memory Usage (MB),41.6115,51.6516,1.55345,34.9811,41.5258
Callback Time (ms),400.0,300.0,300.0,300.0,300.0
