Metric,empty_world_S1_noise,empty_world_B_noise,empty_world_C_noise,empty_world_A_noise,empty_world_S2_noise
Evaluation Time (s),8543.45,8618.25,8587.55,8598.85,8556.15
Completeness (%),84.1981,96.3125,98.1328,96.8305,88.9877
Occupied Voxels,6196.0,9816.0,9511.0,10452.0,4358.0
Free Voxels,156996.0,176856.0,180689.0,177224.0,168117.0
Unknown Voxels,30627.0,7147.0,3619.0,6143.0,21344.0
3D True Positives,3632.0,5886.0,5635.0,5638.0,2615.0
3D False Positives,2564.0,3930.0,3876.0,4814.0,1743.0
3D True Negatives,152164.0,174560.0,176570.0,174463.0,167765.0
3D False Negatives,4832.0,2296.0,4119.0,2761.0,352.0
3D Precision,58.6185,59.9633,59.2472,53.94179999999999,60.004599999999996
3D Recall,42.9112,71.9384,57.7712,67.12700000000001,88.1362
3D F1-Score,49.5498,65.4073,58.499900000000004,59.8165,71.3993
3D IoU,32.9343,48.5964,41.342600000000004,42.6701,55.520199999999996
Memory Usage (MB),1.70604,38.3174,27.0237,41.164,41.3866
Callback Time (ms),1700.0,1900.0,2000.0,1900.0,1800.0
