Metric,office_pillars_C_noise,office_pillars_B_noise,office_pillars_s2_noise,office_pillars_A_noise,office_pillars_s1_noise
Evaluation Time (s),8675.24,8708.64,8677.84,8689.44,8677.14
Completeness (%),92.8402,88.2968,68.613,89.1337,60.8243
Occupied Voxels,9644.0,8889.0,4379.0,8946.0,3984.0
Free Voxels,170298.0,162247.0,128606.0,163812.0,113905.0
Unknown Voxels,13877.0,22683.0,60834.0,21061.0,75930.0
3D True Positives,6667.0,6268.0,3023.0,6274.0,2524.0
3D False Positives,2977.0,2621.0,1356.0,2672.0,1460.0
3D True Negatives,162106.0,155503.0,126107.0,156970.0,109459.0
3D False Negatives,8192.0,6744.0,2499.0,6842.0,4446.0
3D Precision,69.1311,70.5141,69.03399999999999,70.1319,63.35340000000001
3D Recall,44.8684,48.1709,54.7447,47.834700000000005,36.2123
3D F1-Score,54.41780000000001,57.239399999999996,61.0645,56.876099999999994,46.083600000000004
3D IoU,37.3795,40.0947,43.9517,39.739000000000004,29.9407
Memory Usage (MB),40.7601,34.6119,48.2911,34.3278,1.5219
Callback Time (ms),400.0,800.0,200.0,400.0,300.0
