Metric,warehouse_A_noise,warehouse_s2_noise,warehouse_C_noise,warehouse_s1_noise,warehouse_B_noise
Evaluation Time (s),811.54,822.94,810.74,809.84,812.54
Completeness (%),74.7432,59.4436,83.87,37.9071,76.6202
Occupied Voxels,4185.0,2241.0,5000.0,2574.0,4819.0
Free Voxels,158007.0,126751.0,176997.0,79684.0,161446.0
Unknown Voxels,54807.0,88007.0,35002.0,134741.0,50734.0
3D True Positives,2323.0,1316.0,2653.0,1213.0,2628.0
3D False Positives,1862.0,925.0,2347.0,1361.0,2191.0
3D True Negatives,152039.0,122938.0,170745.0,76077.0,155540.0
3D False Negatives,5968.0,3813.0,6252.0,3607.0,5906.0
3D Precision,55.507799999999996,58.723800000000004,53.059999999999995,47.125099999999996,54.534099999999995
3D Recall,28.0183,25.657999999999998,29.7923,25.166,30.794500000000003
3D F1-Score,37.2395,35.7123,38.1589,32.8104,39.3619
3D IoU,22.8799,21.7377,23.578,19.6247,24.5035
Memory Usage (MB),28.7909,28.7035,25.0914,2.55382,28.1478
Callback Time (ms),200.0,200.0,200.0,200.0,200.0
